Source,Target,Type,Id,Label,timeset,Weight
19,20,Undirected,64,,,1
19,15,Undirected,65,,,1
19,17,Undirected,66,,,1
19,4,Undirected,67,,,1
19,3,Undirected,68,,,1
19,7,Undirected,69,,,1
6,19,Undirected,70,,,1
20,4,Undirected,71,,,1
17,4,Undirected,72,,,1
14,9,Undirected,73,,,1
16,9,Undirected,74,,,1
2,9,Undirected,75,,,1
2,16,Undirected,76,,,1
3,17,Undirected,77,,,1
3,20,Undirected,78,,,1
11,5,Undirected,79,,,1
11,10,Undirected,80,,,1
18,10,Undirected,81,,,1
5,10,Undirected,82,,,1
7,1,Undirected,83,,,1
7,12,Undirected,84,,,1
20,1,Undirected,85,,,1
9,13,Undirected,86,,,1
8,13,Undirected,87,,,1
7,17,Undirected,88,,,1
18,9,Undirected,89,,,1
18,14,Undirected,90,,,1
8,3,Undirected,91,,,1
21,13,Undirected,92,,,1
21,8,Undirected,93,,,1
22,3,Undirected,94,,,1
22,8,Undirected,95,,,1
